date,age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
2020-03-12T16:00,0-9,36,57.14285714285714,0,0.0,0.0,27,42.85714285714285,0,0.0,0.0,63,0.4538250972482351,0,0.0,0.0
2020-03-12T16:00,10-19,60,51.28205128205128,0,0.0,0.0,57,48.71794871794872,0,0.0,0.0,118,0.8500216107189165,0,0.0,0.0
2020-03-12T16:00,20-29,214,44.03292181069959,0,0.0,0.0,272,55.96707818930041,0,0.0,0.0,511,3.68102578879124,0,0.0,0.0
2020-03-12T16:00,30-39,423,54.51030927835051,1,100.0,0.2364066193853428,353,45.48969072164948,0,0.0,0.0,819,5.8997262642270565,1,0.12453300124533,0.1221001221001221
2020-03-12T16:00,40-49,735,50.6198347107438,0,0.0,0.0,717,49.3801652892562,1,100.0,0.1394700139470014,1523,10.97104163665178,1,0.12453300124533,0.0656598818122127
2020-03-12T16:00,50-59,1359,56.81438127090301,10,71.42857142857143,0.7358351729212657,1033,43.185618729096994,4,28.57142857142857,0.3872216844143272,2480,17.864860971041637,14,1.7434620174346205,0.564516129032258
2020-03-12T16:00,60-69,1611,68.40764331210191,53,81.53846153846153,3.2898820608317814,744,31.59235668789809,12,18.461538461538463,1.6129032258064515,2421,17.439850165682177,65,8.094645080946451,2.6848409748038
2020-03-12T16:00,70-79,1916,68.37972876516774,216,79.12087912087912,11.273486430062633,886,31.620271234832263,57,20.87912087912088,6.433408577878104,2849,20.5229793977813,274,34.12204234122042,9.617409617409615
2020-03-12T16:00,80-89,1306,62.1904761904762,252,70.98591549295776,19.29555895865237,794,37.80952380952381,103,29.01408450704225,12.97229219143577,2138,15.40123901455122,355,44.20921544209215,16.604303086997195
2020-03-12T16:00,>=90,155,40.25974025974026,40,53.333333333333336,25.806451612903224,230,59.74025974025974,35,46.66666666666666,15.217391304347828,395,2.845411324016712,75,9.339975093399753,18.9873417721519
2020-03-12T16:00,unknown,272,58.2441113490364,10,66.66666666666666,3.6764705882352944,195,41.7558886509636,5,33.33333333333333,2.564102564102564,565,4.070018729289727,18,2.2415940224159403,3.185840707964602
2020-03-16T16:00,0-9,75,62.5,0,0.0,0.0,45,37.5,0,0.0,0.0,121,0.4828797190517998,0,0.0,0.0
2020-03-16T16:00,10-19,97,52.71739130434783,0,0.0,0.0,87,47.28260869565217,0,0.0,0.0,186,0.742277915236651,0,0.0,0.0
2020-03-16T16:00,20-29,419,44.76495726495727,0,0.0,0.0,517,55.23504273504274,0,0.0,0.0,970,3.8710192353739328,0,0.0,0.0
2020-03-16T16:00,30-39,829,51.07825015403573,4,100.0,0.482509047044632,794,48.92174984596426,0,0.0,0.0,1676,6.688482720089392,4,0.2357100766057749,0.2386634844868735
2020-03-16T16:00,40-49,1491,51.13168724279835,5,55.55555555555556,0.335345405767941,1425,48.86831275720165,4,44.44444444444444,0.2807017543859649,2995,11.952270731901988,9,0.5303476723629935,0.3005008347245409
2020-03-16T16:00,50-59,2633,56.80690399137001,34,73.91304347826086,1.2913026965438663,2002,43.19309600862999,12,26.08695652173913,0.5994005994005994,4734,18.892170165216697,46,2.710665880966411,0.9716941275876636
2020-03-16T16:00,60-69,3007,68.44980651035739,113,79.5774647887324,3.7578982374459593,1386,31.550193489642613,29,20.422535211267608,2.092352092352092,4438,17.710910687205683,144,8.485562757807896,3.244704821991888
2020-03-16T16:00,70-79,3461,68.10310901219992,469,78.29716193656094,13.550996821727823,1621,31.89689098780008,130,21.702838063439064,8.019740900678594,5123,20.44456860084604,602,35.474366529169124,11.750927191098963
2020-03-16T16:00,80-89,2322,60.46875000000001,491,67.72413793103448,21.145564168819984,1518,39.53125,234,32.27586206896552,15.41501976284585,3873,15.45614175113736,727,42.84030642309959,18.7709785695843
